Rostering system,,Compliance,Explanation,
Ability for employees to enter their own availability and have that reflect in the system in real time,,Fully Complies,,
"Automatic allocation of shifts to the ""best"" employee",,Fully Complies,,
Tracking and reporting mechanisms for employees that accept and reject the shifts (including reasons why shifts were declined),,Fully Complies,,
Bidding or multi offer options for emergency shifts using an automated process,,Fully Complies,,
Funding management,,Compliance,Explanation,
Creation of clients service agreements,,Fully Complies,,
"Tracking of service agreements including expiry dates, total funding amount, funding utilised, remaining funding etc.",,Fully Complies,,
"Automate creation of invoices after services have been provided, through an approval process",,Fully Complies,,
API feeds to Xero (Finance system) for billing and revenue recognition,,Fully Complies,,
Ability to create Bulk Upload files for PRODA / PACE,,Fully Complies,,
Payroll,,Compliance,Explanation,
"Payroll system which adheres to SCHADS rules and regulations, including highlighting which shifts were the issue",,Fully Complies,,
